uid,radius_of_gyration
1,4.597082227081545
2,10.148087648424255
3,4.082299255719805
4,4.56696766337116
5,1.5753013358435537
6,9.645610829883635
7,3.777093972586037
8,4.554037300118008
9,3.29035699913923
10,4.574030543976142
11,5.730384174578489
12,9.580056555963749
13,1.9926525114222533
14,1.152070733251828
15,4.1515143501481795
16,5.817288825636153
17,11.435138149696124
18,6.229911679204104
19,5.0039731017923055
20,7.0443813813877085
21,3.040757801648828
22,5.902583930597462
23,5.4892109205132495
24,1.7212671508621877
25,1.4464942909362015
26,8.638975353292075
27,7.816498624476341
28,10.881536597685958
29,9.541763101490684
30,2.6603735895898204
31,4.511013700423133
32,6.872214575986753
33,3.399752305407559
34,5.854402296874056
35,3.9356039319199763
36,3.875480096762362
37,4.715370820980012
38,8.005108430765908
39,2.844780586509673
40,7.561183279669014
41,8.163934226746338
42,6.463196097165112
43,9.060446068567465
44,4.567007319091634
45,1.544349034646723
46,4.3125316550605115
47,4.681292184230825
48,4.2419897152502015
49,8.618225239852235
50,7.984634194271049
51,5.251513437919199
52,2.6061610752386195
53,3.045837619894223
54,3.904341799468048
55,3.723019913740489
56,4.066901839935888
57,5.647862693131063
58,5.312156904069175
59,8.503116995163985
60,4.0616955839669995
61,7.912728930945984
62,4.028568392087264
63,2.5200556718546845
64,4.327939104354114
65,7.70484483787804
66,6.538469641498088
67,4.922358386663275
68,5.825227776552929
69,4.596771164016013
70,9.769307935959736
71,1.9807866033045902
72,2.4661577575110325
73,5.662362457505941
74,6.550561654424726
75,2.2084012009641696
76,5.158802869552448
77,13.651088358631181
78,6.1839190147458
79,6.692429391668353
80,7.581537342560098
81,4.545258618096763
82,2.951195237445162
83,7.912163190773973
84,5.3873662653530765
85,4.2263624232743995
86,5.701575056142374
87,3.8895909342677637
88,3.5808884186361207
89,5.372412085227956
90,2.611237713592106
91,10.323483708603627
92,3.7845105739741065
93,5.487479474114297
94,7.4822248998548275
95,7.525436714962214
96,4.163258896012208
97,10.39188159104627
98,3.7266706697675964
99,7.4048324602969275
100,3.6482501596723207
101,4.825737469959024
102,3.956750789286583
103,5.452452808509018
104,3.0847364540973823
105,9.138541545050494
106,4.011404301208131
107,7.575020415895716
108,2.6112731452499647
109,2.0093019552902827
110,11.106372164298259
111,10.700436943742925
112,3.003740567176808
113,10.89026463993695
114,4.133064512458159
115,4.765870168953587
116,2.0758873506328492
117,6.499550296354525
118,5.307452455694208
119,3.9338475178471337
120,5.427494819442308
121,6.695820148260872
122,4.764969525234978
123,3.094548852310236
124,2.1652245844359634
125,9.040930595717429
126,3.270479271115027
127,6.810020170464111
128,0.7365342441148567
129,4.399746322325601
130,2.156906198986067
131,6.597450540645832
132,4.4996082729617095
133,11.06732546794796
134,3.7320459606989824
135,4.213759549010993
136,1.5562233054453898
137,6.2674949219154605
138,5.990498210695864
139,8.530243932989755
140,5.280347341444477
141,10.026447628100891
142,3.799447390587708
143,7.7877977906659375
144,3.7425038025151545
145,5.055632127829023
146,2.5450023009163805
147,9.35700850893616
148,6.819957178831249
149,2.029451886184829
150,2.6069107468007178
151,3.5524585624983986
152,4.013679498681446
153,6.084586371255789
154,7.440632996703137
155,3.7642054997461827
156,4.696666115333088
157,5.316487113774216
158,5.90469457428742
159,9.539129443294803
160,9.426857241921594
161,5.42452908319748
162,7.5632812051702265
163,5.5553141143128535
164,3.0077996306311228
165,1.3789735140467543
166,2.916401024861839
167,3.082329692480429
168,2.6992289447160522
169,3.4281357276175006
170,3.2970475962760286
171,4.46423396138552
172,4.811832442865262
173,5.9395162699796895
174,0.9356901554801437
175,2.8165963834469525
176,4.256406259886338
177,3.4930477131350384
178,8.295797643796494
179,6.245238489799517
180,13.054968474066948
181,11.060583354666468
182,6.5923030079269385
183,7.4718761306969546
184,4.2557008133711856
185,3.7699599569220927
186,9.199695104945171
187,9.76269952057878
188,2.852631233675577
189,8.922046210555546
190,3.1364259581419356
191,5.648414279500004
192,2.521365419472237
193,8.744120433671995
194,8.480621975810081
195,2.5059369308145345
196,4.824967632797295
197,5.728748466448612
198,3.39613274762816
199,6.210362934935671
200,3.2546308818226413
201,4.099957631494308
202,4.736460283256895
203,3.6794962063353585
204,9.316830759759716
205,7.593914676825008
206,3.283001600356161
207,3.2522252536905816
208,2.306882784118275
209,6.191246957064074
210,11.522652007391201
211,6.694032126251028
212,5.835926561887239
213,1.8751389686499014
214,6.274858451341085
215,8.98759739849035
216,4.7837285810154855
217,5.005885667314867
218,3.9989158579109567
219,7.6308220093482975
220,5.13736226244132
221,11.248021541396339
222,4.914253035238505
223,4.158403765826497
224,6.120483007632541
225,6.6990655504107615
226,4.04261287197303
227,9.191941119378875
228,7.367035398947435
229,2.9295366448530316
230,3.8616432864849934
231,4.334166770311627
232,7.0762223039778505
233,4.404969912370021
234,4.335567587997741
235,4.2878137512041565
236,5.3974021493914695
237,7.754024640879475
238,10.909270178258177
239,8.749351863396914
240,3.014503648997031
241,6.472188221700371
242,7.718922217603786
243,5.876286044074023
244,3.9063772316661516
245,2.811625785607585
246,2.29392878371706
247,4.215910350904327
248,6.6017899531904
249,5.11126766819301
250,3.8139004311303224
251,2.8884101246796896
252,3.8198500315895525
253,12.4668871284722
254,10.002190111087561
255,5.317651462151874
256,3.989049571931797
257,2.796226444289373
258,4.524276081600855
259,7.5616954491108235
260,4.974172203610762
261,5.609862931619511
262,3.863461487171885
263,2.3226539346129758
264,4.253166359591665
265,4.455728943198067
266,8.774077638214514
267,7.522552853119556
268,6.107251194682186
269,5.636585590902114
270,4.203177221830818
271,6.11526857439858
272,6.325027718402115
273,6.845378434237309
274,4.758184383798518
275,3.476396462867314
276,1.9730699550971087
277,3.771847879374647
278,8.786427496343405
279,4.329794265609265
280,2.40251148046386
281,4.281102595730911
282,6.6248377079602445
283,4.330845220468691
284,4.5683809403225
285,8.10120584266249
286,4.553376897212431
287,7.079870376248735
288,2.5998498842912916
289,7.384035449290744
290,1.3206043864545616
291,4.112966258651089
292,7.0935487011872835
293,3.5358571067148317
294,1.9708979446500678
295,3.510148934319142
296,2.5986667395750933
297,5.392733915688634
298,5.778246151793766
299,4.2585059715006865
300,6.953889847898043
301,5.912493665204057
302,6.540581862193574
303,6.107557525509571
304,7.254529306980402
305,4.887883519170664
306,12.278848690999457
307,5.198240362637594
308,8.3269183326064
309,3.609327162339159
310,6.718834689529487
311,7.4257255848485935
312,3.645264917544307
313,5.031510027175659
314,9.484335782087395
315,2.6784332039670637
316,3.591129040037418
317,4.029665408662806
318,3.189921643747086
319,9.714642576205927
320,4.157377183117076
321,3.8176113087623573
322,8.598304593399131
323,4.922155092636149
324,7.6386002062517075
325,7.474955457519318
